Designator,Footprint,Quantity,Value,LCSC Part #
C101,1206,1,100n,C15008
"C102, C103",1206,2,22µ,
D101,SMA_L4.4-W2.8-LS5.4-R-RD,1,SS54,C22452
J101,DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,1,DISPLAY,
J102,DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,1,ENCODER,
J103,TerminalBlock_Xinya_XY308-2.54-4P_1x04_P2.54mm_Horizontal,1,STEPPER DRIVER,
L101,L_6.3x6.3_H3,1,10µ,
"Q101, Q102, Q103",SOT-23_Handsoldering,3,SI2302,
"R103, R104",1206,2,100R,C17901
R107,1206,1,10k,
"R108, R109",1206,2,10k,C17902
R110,1206,1,1k,C4410
"R111, R112",1206,2,120R,
U101,COMM-SMD_L51.0-W21.0-P2.54_SC0916,1,PI PICO,C7203002
U102,SO1SOP-8-A_TPK,1,TPT480L1-SO1R,
U103,SOT-23-6_Handsoldering,1,SDB628,
